log2foldchange,FC,pvalue,padjust,gene_name
1.68182398709198,3.20833321573237,0.003612157793831,0.047792768704725,Mcmdc2
1.67807182354584,3.19999981907906,0.002939099288643,0.04048558943063,Gdf11
1.67516032024886,3.1935484104638,0.001940034176441,0.029116800246975,Smim10l2a
1.63558867351315,3.10714307191492,5.33E-08,3.60E-06,Efna2
1.62901775074774,3.09302340577829,0.000214903630355,0.004842555334435,RP23-181P23.4
1.61270758310736,3.05825262200284,1.30E-08,9.61E-07,Matn1
1.60768264962715,3.04761920057281,0.000151437454007,0.003620322730331,Prkag2os2
1.60617907420636,3.0444446292505,0.000969011154151,0.016964548921794,Ccdc151
1.58496259170817,3.00000018920218,4.71E-13,7.42E-11,Gng4
1.5849625587948,3.00000012076075,0.001811556592463,0.027705450585687,Gstt1
1.58496252727537,3.00000005521794,0.002302129912586,0.033100060914745,Coro2b
1.57619240119144,2.98181840937305,0.000412879059063,0.008324324788562,2010016I18Rik
1.56828378679215,2.96551729732622,0.003426749187138,0.045753500142622,Cpm
1.56828378519012,2.96551729403319,0.003372795258557,0.045183099845896,F830208F22Rik
1.56446214395185,2.95767215310764,1.26E-12,1.87E-10,Inpp5j
1.51019480054483,2.84848498319088,0.003580521184219,0.047491348172221,Gm6583
1.50447268350431,2.8372095002515,0.001451579736965,0.023638123874526,Ptpru
1.4959322576377,2.82046348179109,4.81E-15,9.92E-13,Hspa1b
1.4818690604465,2.79310355028431,0.002964806338423,0.040804764053791,4930509G22Rik
1.47549010866926,2.78078095903565,7.79E-12,1.04E-09,Angptl4
1.46608521984171,2.76271208457516,0.000153296783047,0.003653913988796,Gm24060
1.4479817143352,2.72826108976604,6.60E-06,0.000257125643619,Adgrl1
1.4441000649409,2.72093042127105,0.000597589418407,0.011439356700227,Gm7115
1.43754410279533,2.70859389358743,3.43E-23,1.84E-20,Cytip
1.43574812423831,2.70522412397573,8.69E-08,5.64E-06,Ccdc88c
1.41503759244193,2.66666683886862,0.002077366496383,0.030550959378714,Cnih2
1.38994665311758,2.62068990004266,0.000920346743929,0.016416251400298,Hey1
1.37937850190708,2.60156274314482,1.05E-05,0.000386795981652,Arhgef19
1.37527701257327,2.59417717069848,3.26E-13,5.47E-11,Irg1
1.37018340081399,2.58503425965561,7.28E-06,0.000279364103793,Adamtsl4
1.36564960687946,2.57692331727737,0.001467316964117,0.023822061186353,Rab44
1.35908122158812,2.56521761940144,0.002235933926973,0.032321600135732,Clmn
1.35614394328248,2.56000023610427,0.001691966516573,0.02640353955882,Slc7a3
1.35230187151049,2.55319171514413,0.001802125616624,0.02761371337702,Iqcg
1.34716552284744,2.54411788770081,1.87E-06,8.46E-05,Saa3
1.34587937127602,2.54185083678271,0.000109147223369,0.002778591260738,Nhsl2
